COLLATION_NAME	CHARACTER_SET_NAME	ID	IS_DEFAULT	IS_COMPILED	SORTLEN
big5_chinese_ci	big5	1	Yes	Yes	1
big5_bin	big5	84		Yes	1
big5_chinese_nopad_ci	big5	1025		Yes	1
big5_nopad_bin	big5	1108		Yes	1
dec8_swedish_ci	dec8	3	Yes	Yes	1
dec8_bin	dec8	69		Yes	1
dec8_swedish_nopad_ci	dec8	1027		Yes	1
dec8_nopad_bin	dec8	1093		Yes	1
cp850_general_ci	cp850	4	Yes	Yes	1
cp850_bin	cp850	80		Yes	1
cp850_general_nopad_ci	cp850	1028		Yes	1
cp850_nopad_bin	cp850	1104		Yes	1
hp8_english_ci	hp8	6	Yes	Yes	1
hp8_bin	hp8	72		Yes	1
hp8_english_nopad_ci	hp8	1030		Yes	1
hp8_nopad_bin	hp8	1096		Yes	1
koi8r_general_ci	koi8r	7	Yes	Yes	1
koi8r_bin	koi8r	74		Yes	1
koi8r_general_nopad_ci	koi8r	1031		Yes	1
koi8r_nopad_bin	koi8r	1098		Yes	1
latin1_german1_ci	latin1	5		Yes	1
latin1_swedish_ci	latin1	8	Yes	Yes	1
latin1_danish_ci	latin1	15		Yes	1
latin1_german2_ci	latin1	31		Yes	2
latin1_bin	latin1	47		Yes	1
latin1_general_ci	latin1	48		Yes	1
latin1_general_cs	latin1	49		Yes	1
latin1_spanish_ci	latin1	94		Yes	1
latin1_swedish_nopad_ci	latin1	1032		Yes	1
latin1_nopad_bin	latin1	1071		Yes	1
latin2_czech_cs	latin2	2		Yes	4
latin2_general_ci	latin2	9	Yes	Yes	1
latin2_hungarian_ci	latin2	21		Yes	1
latin2_croatian_ci	latin2	27		Yes	1
latin2_bin	latin2	77		Yes	1
latin2_general_nopad_ci	latin2	1033		Yes	1
latin2_nopad_bin	latin2	1101		Yes	1
swe7_swedish_ci	swe7	10	Yes	Yes	1
swe7_bin	swe7	82		Yes	1
swe7_swedish_nopad_ci	swe7	1034		Yes	1
swe7_nopad_bin	swe7	1106		Yes	1
ascii_general_ci	ascii	11	Yes	Yes	1
ascii_bin	ascii	65		Yes	1
ascii_general_nopad_ci	ascii	1035		Yes	1
ascii_nopad_bin	ascii	1089		Yes	1
ujis_japanese_ci	ujis	12	Yes	Yes	1
ujis_bin	ujis	91		Yes	1
ujis_japanese_nopad_ci	ujis	1036		Yes	1
ujis_nopad_bin	ujis	1115		Yes	1
sjis_japanese_ci	sjis	13	Yes	Yes	1
sjis_bin	sjis	88		Yes	1
sjis_japanese_nopad_ci	sjis	1037		Yes	1
sjis_nopad_bin	sjis	1112		Yes	1
hebrew_general_ci	hebrew	16	Yes	Yes	1
hebrew_bin	hebrew	71		Yes	1
hebrew_general_nopad_ci	hebrew	1040		Yes	1
hebrew_nopad_bin	hebrew	1095		Yes	1
tis620_thai_ci	tis620	18	Yes	Yes	4
tis620_bin	tis620	89		Yes	1
tis620_thai_nopad_ci	tis620	1042		Yes	4
tis620_nopad_bin	tis620	1113		Yes	1
euckr_korean_ci	euckr	19	Yes	Yes	1
euckr_bin	euckr	85		Yes	1
euckr_korean_nopad_ci	euckr	1043		Yes	1
euckr_nopad_bin	euckr	1109		Yes	1
koi8u_general_ci	koi8u	22	Yes	Yes	1
koi8u_bin	koi8u	75		Yes	1
koi8u_general_nopad_ci	koi8u	1046		Yes	1
koi8u_nopad_bin	koi8u	1099		Yes	1
gb2312_chinese_ci	gb2312	24	Yes	Yes	1
gb2312_bin	gb2312	86		Yes	1
gb2312_chinese_nopad_ci	gb2312	1048		Yes	1
gb2312_nopad_bin	gb2312	1110		Yes	1
greek_general_ci	greek	25	Yes	Yes	1
greek_bin	greek	70		Yes	1
greek_general_nopad_ci	greek	1049		Yes	1
greek_nopad_bin	greek	1094		Yes	1
cp1250_general_ci	cp1250	26	Yes	Yes	1
cp1250_czech_cs	cp1250	34		Yes	2
cp1250_croatian_ci	cp1250	44		Yes	1
cp1250_bin	cp1250	66		Yes	1
cp1250_polish_ci	cp1250	99		Yes	1
cp1250_general_nopad_ci	cp1250	1050		Yes	1
cp1250_nopad_bin	cp1250	1090		Yes	1
gbk_chinese_ci	gbk	28	Yes	Yes	1
gbk_bin	gbk	87		Yes	1
gbk_chinese_nopad_ci	gbk	1052		Yes	1
gbk_nopad_bin	gbk	1111		Yes	1
latin5_turkish_ci	latin5	30	Yes	Yes	1
latin5_bin	latin5	78		Yes	1
latin5_turkish_nopad_ci	latin5	1054		Yes	1
latin5_nopad_bin	latin5	1102		Yes	1
