COLLATION_NAME	CHARACTER_SET_NAME	ID	IS_DEFAULT	IS_COMPILED	SORTLEN	PAD_ATTRIBUTE
armscii8_general_ci	armscii8	32	Yes	Yes	1	PAD SPACE
armscii8_bin	armscii8	64		Yes	1	PAD SPACE
ascii_general_ci	ascii	11	Yes	Yes	1	PAD SPACE
ascii_bin	ascii	65		Yes	1	PAD SPACE
big5_chinese_ci	big5	1	Yes	Yes	1	PAD SPACE
big5_bin	big5	84		Yes	1	PAD SPACE
binary	binary	63	Yes	Yes	1	NO PAD
cp1250_general_ci	cp1250	26	Yes	Yes	1	PAD SPACE
cp1250_czech_cs	cp1250	34		Yes	2	PAD SPACE
cp1250_croatian_ci	cp1250	44		Yes	1	PAD SPACE
cp1250_bin	cp1250	66		Yes	1	PAD SPACE
cp1250_polish_ci	cp1250	99		Yes	1	PAD SPACE
cp1251_bulgarian_ci	cp1251	14		Yes	1	PAD SPACE
cp1251_ukrainian_ci	cp1251	23		Yes	1	PAD SPACE
cp1251_bin	cp1251	50		Yes	1	PAD SPACE
cp1251_general_ci	cp1251	51	Yes	Yes	1	PAD SPACE
cp1251_general_cs	cp1251	52		Yes	1	PAD SPACE
cp1256_general_ci	cp1256	57	Yes	Yes	1	PAD SPACE
cp1256_bin	cp1256	67		Yes	1	PAD SPACE
cp1257_lithuanian_ci	cp1257	29		Yes	1	PAD SPACE
cp1257_bin	cp1257	58		Yes	1	PAD SPACE
cp1257_general_ci	cp1257	59	Yes	Yes	1	PAD SPACE
cp850_general_ci	cp850	4	Yes	Yes	1	PAD SPACE
cp850_bin	cp850	80		Yes	1	PAD SPACE
cp852_general_ci	cp852	40	Yes	Yes	1	PAD SPACE
cp852_bin	cp852	81		Yes	1	PAD SPACE
cp866_general_ci	cp866	36	Yes	Yes	1	PAD SPACE
cp866_bin	cp866	68		Yes	1	PAD SPACE
cp932_japanese_ci	cp932	95	Yes	Yes	1	PAD SPACE
cp932_bin	cp932	96		Yes	1	PAD SPACE
dec8_swedish_ci	dec8	3	Yes	Yes	1	PAD SPACE
dec8_bin	dec8	69		Yes	1	PAD SPACE
