// Code generated by `SELECT * FROM INFORMATION_SCHEMA.KEYWORDS`.
// Reference: https://dev.mysql.com/doc/refman/8.0/en/information-schema-keywords-table.html
// DO NOT EDIT.
WORD	RESERVED
ACCESSIBLE	1
ACCOUNT	0
ACTION	0
ACTIVE	0
ADD	1
ADMIN	0
AFTER	0
AGAINST	0
AGGREGATE	0
ALGORITHM	0
ALL	1
ALTER	1
ALWAYS	0
ANALYZE	1
AND	1
ANY	0
ARRAY	0
AS	1
ASC	1
ASCII	0
ASENSITIVE	1
AT	0
ATTRIBUTE	0
AUTOEXTEND_SIZE	0
AUTO_INCREMENT	0
AVG	0
AVG_ROW_LENGTH	0
BACKUP	0
BEFORE	1
BEGIN	0
BETWEEN	1
BIGINT	1
BINARY	1
BINLOG	0
BIT	0
BLOB	1
BLOCK	0
BOOL	0
BOOLEAN	0
BOTH	1
BTREE	0
BUCKETS	0
BY	1
BYTE	0
CACHE	0
CALL	1
CASCADE	1
CASCADED	0
CASE	1
CATALOG_NAME	0
CHAIN	0
CHANGE	1
CHANGED	0
CHANNEL	0
CHAR	1
CHARACTER	1
CHARSET	0
CHECK	1
CHECKSUM	0
CIPHER	0
CLASS_ORIGIN	0
CLIENT	0
CLONE	0
CLOSE	0
COALESCE	0
CODE	0
COLLATE	1
COLLATION	0
COLUMN	1
COLUMNS	0
COLUMN_FORMAT	0
COLUMN_NAME	0
COMMENT	0
COMMIT	0
COMMITTED	0
COMPACT	0
COMPLETION	0
COMPONENT	0
COMPRESSED	0
COMPRESSION	0
CONCURRENT	0
CONDITION	1
CONNECTION	0
CONSISTENT	0
CONSTRAINT	1
CONSTRAINT_CATALOG	0
CONSTRAINT_NAME	0
CONSTRAINT_SCHEMA	0
CONTAINS	0
CONTEXT	0
CONTINUE	1
CONVERT	1
CPU	0
CREATE	1
CROSS	1
CUBE	1
CUME_DIST	1
CURRENT	0
CURRENT_DATE	1
CURRENT_TIME	1
CURRENT_TIMESTAMP	1
CURRENT_USER	1
CURSOR	1
CURSOR_NAME	0
DATA	0
DATABASE	1
DATABASES	1
DATAFILE	0
DATE	0
DATETIME	0
DAY	0
DAY_HOUR	1
DAY_MICROSECOND	1
DAY_MINUTE	1
DAY_SECOND	1
DEALLOCATE	0
DEC	1
DECIMAL	1
DECLARE	1
DEFAULT	1
DEFAULT_AUTH	0
DEFINER	0
DEFINITION	0
DELAYED	1
DELAY_KEY_WRITE	0
DELETE	1
DENSE_RANK	1
DESC	1
DESCRIBE	1
DESCRIPTION	0
DETERMINISTIC	1
DIAGNOSTICS	0
DIRECTORY	0
DISABLE	0
DISCARD	0
DISK	0
DISTINCT	1
DISTINCTROW	1
DIV	1
DO	0
DOUBLE	1
DROP	1
DUAL	1
DUMPFILE	0
DUPLICATE	0
DYNAMIC	0
EACH	1
ELSE	1
ELSEIF	1
EMPTY	1
ENABLE	0
ENCLOSED	1
ENCRYPTION	0
END	0
ENDS	0
ENFORCED	0
ENGINE	0
ENGINES	0
ENGINE_ATTRIBUTE	0
ENUM	0
ERROR	0
ERRORS	0
ESCAPE	0
ESCAPED	1
EVENT	0
EVENTS	0
EVERY	0
EXCEPT	1
EXCHANGE	0
EXCLUDE	0
EXECUTE	0
EXISTS	1
EXIT	1
EXPANSION	0
EXPIRE	0
EXPLAIN	1
EXPORT	0
EXTENDED	0
EXTENT_SIZE	0
FAILED_LOGIN_ATTEMPTS	0
FALSE	1
FAST	0
FAULTS	0
FETCH	1
FIELDS	0
FILE	0
